season,player,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pts_per_game,AllStar
2024,Dorian Finney-Smith,4.7,1.6,0.8,0.6,0.9,8.5,0
2024,Doug McDermott,0.9,1.1,0.3,0.0,0.4,5.5,0
2024,Doug McDermott,1.0,1.2,0.2,0.0,0.5,6.0,0
2024,Doug McDermott,0.6,0.7,0.3,0.0,0.2,4.2,0
2024,Draymond Green,7.2,6.0,1.0,0.9,2.5,8.6,0
2024,Drew Eubanks,4.3,0.8,0.4,0.8,0.8,5.1,0
2024,Drew Peterson,0.3,0.3,0.7,0.0,0.3,3.7,0
2024,Dru Smith,1.6,1.6,1.0,0.3,0.6,4.3,0
2024,Duncan Robinson,2.5,2.8,0.7,0.2,1.4,12.9,0
2024,Duop Reath,3.7,1.0,0.5,0.6,0.8,9.1,0
2024,Dwight Powell,3.4,1.3,0.4,0.3,0.5,3.3,0
2024,Dylan Windler,0.9,0.6,0.1,0.0,0.1,2.5,0
2024,Dylan Windler,0.3,0.3,0.0,0.0,0.0,1.0,0
2024,Dylan Windler,0.4,0.8,0.0,0.0,0.0,1.5,0
2024,Dylan Windler,2.0,0.5,0.3,0.0,0.3,4.7,0
2024,Dyson Daniels,3.9,2.7,1.4,0.4,1.0,5.8,0
2024,Dāvis Bertāns,1.4,0.8,0.6,0.3,0.4,6.7,0
2024,Dāvis Bertāns,0.7,0.6,0.2,0.2,0.1,2.9,0
2024,Dāvis Bertāns,1.8,0.9,0.8,0.3,0.6,8.8,0
2024,E.J. Liddell,0.6,0.1,0.3,0.3,0.3,0.5,0
2024,Emoni Bates,0.9,0.7,0.1,0.1,0.5,2.7,0
2024,Eric Gordon,1.8,2.0,1.0,0.4,1.1,11.0,0
2024,Eugene Omoruyi,2.0,0.8,0.6,0.1,0.5,4.8,0
2024,Evan Fournier,1.8,1.5,0.9,0.2,0.7,6.9,0
2024,Evan Fournier,1.3,1.0,1.3,0.0,0.3,4.0,0
2024,Evan Fournier,1.9,1.6,0.9,0.2,0.7,7.2,0
2024,Evan Mobley,9.4,3.2,0.9,1.4,1.8,15.7,0
2024,Filip Petrušev,0.3,0.0,0.0,0.0,0.0,1.0,0
2024,Filip Petrušev,1.0,0.0,0.0,0.0,0.0,0.0,0
2024,Filip Petrušev,0.0,0.0,0.0,0.0,0.0,1.5,0
2024,Frank Ntilikina,1.2,0.8,0.0,0.0,0.2,1.0,0
2024,Franz Wagner,5.3,3.7,1.1,0.4,1.9,19.7,0
2024,Fred VanVleet,3.8,8.1,1.4,0.8,1.7,17.4,0
2024,Furkan Korkmaz,0.9,0.7,0.4,0.1,0.3,2.5,0
2024,GG Jackson II,4.1,1.2,0.6,0.5,1.4,14.6,0
2024,Gabe Vincent,0.8,1.9,0.8,0.0,0.5,3.1,0
2024,Garrett Temple,1.7,1.0,0.4,0.1,0.5,3.3,0
2024,Garrison Mathews,1.4,0.6,0.3,0.1,0.3,4.9,0
2024,Gary Harris,1.7,1.6,0.9,0.3,0.6,6.9,0
2024,Gary Payton II,2.6,1.1,0.9,0.4,0.6,5.5,0
2024,Gary Trent Jr.,2.6,1.7,1.1,0.1,0.7,13.7,0
2024,Georges Niang,3.4,1.2,0.4,0.2,0.9,9.4,0
2024,Giannis Antetokounmpo,11.5,6.5,1.2,1.1,3.4,30.4,1
2024,Goga Bitadze,4.6,1.3,0.5,1.2,0.7,5.0,0
2024,Gordon Hayward,3.5,3.1,0.8,0.3,1.3,9.8,0
2024,Gordon Hayward,4.7,4.6,1.1,0.5,2.0,14.5,0
2024,Gordon Hayward,2.5,1.6,0.5,0.0,0.6,5.3,0
2024,Gradey Dick,2.2,1.1,0.6,0.0,0.8,8.5,0
2024,Grant Williams,4.2,2.3,0.6,0.5,1.4,10.3,0
2024,Grant Williams,3.6,1.7,0.5,0.6,1.1,8.1,0
2024,Grant Williams,5.1,3.2,0.7,0.4,1.9,13.9,0
2024,Grayson Allen,3.9,3.0,0.9,0.6,1.3,13.5,0
2024,Greg Brown III,1.5,0.7,0.0,0.7,0.7,2.5,0
2024,Gui Santos,2.1,0.6,0.2,0.1,0.3,3.6,0
2024,Hamidou Diallo,1.0,0.5,1.0,0.0,0.5,1.0,0
2024,Harrison Barnes,3.0,1.2,0.7,0.1,0.7,12.2,0
2024,Harry Giles,1.3,0.3,0.1,0.1,0.3,2.4,0
2024,Harry Giles,1.6,0.4,0.1,0.2,0.4,3.4,0
2024,Harry Giles,0.6,0.0,0.1,0.0,0.0,0.3,0
2024,Haywood Highsmith,3.2,1.1,0.8,0.5,0.5,6.1,0
2024,Henri Drell,1.0,1.0,0.5,0.3,0.5,2.8,0
2024,Herbert Jones,3.6,2.6,1.4,0.8,1.2,11.0,0
2024,Hunter Tyson,0.5,0.1,0.1,0.0,0.1,1.1,0
2024,Ibou Badji,2.3,0.6,0.1,0.9,0.7,1.5,0
2024,Immanuel Quickley,3.8,4.9,0.7,0.1,1.5,17.0,0
2024,Immanuel Quickley,2.6,2.5,0.5,0.1,1.0,15.0,0
2024,Immanuel Quickley,4.8,6.8,0.9,0.2,1.8,18.6,0
2024,Isaac Okoro,3.0,1.9,0.8,0.5,0.8,9.4,0
2024,Isaiah Hartenstein,8.3,2.5,1.2,1.1,1.2,7.8,0
2024,Isaiah Jackson,4.0,0.8,0.6,1.0,0.7,6.5,0
2024,Isaiah Joe,2.3,1.3,0.6,0.3,0.6,8.2,0
2024,Isaiah Livers,2.1,1.1,0.6,0.2,0.7,5.0,0
2024,Isaiah Mobley,1.0,0.6,0.2,0.0,0.2,2.3,0
2024,Isaiah Stewart,6.6,1.6,0.4,0.8,1.4,10.9,0
2024,Isaiah Thomas,0.0,0.5,0.0,0.0,0.0,1.3,0
2024,Isaiah Wong,0.0,0.0,0.0,0.0,0.0,2.0,0
2024,Ish Smith,1.8,3.4,0.4,0.1,1.1,3.2,0
2024,Ish Wainright,1.3,0.1,0.4,0.1,0.2,2.1,0
2024,Ish Wainright,1.3,0.0,0.3,0.1,0.1,2.9,0
2024,Ish Wainright,1.3,0.3,0.5,0.0,0.3,0.8,0
2024,Ivica Zubac,9.2,1.4,0.3,1.2,1.2,11.7,0
2024,Izaiah Brockington,2.0,0.0,0.0,0.0,0.0,4.0,0
2024,JD Davison,1.3,1.3,0.1,0.1,0.3,2.0,0
2024,JT Thor,2.3,0.5,0.2,0.4,0.2,3.2,0
2024,Ja Morant,5.6,8.1,0.8,0.6,3.0,25.1,0
2024,JaVale McGee,2.7,0.4,0.3,0.4,0.7,4.0,0
2024,Jabari Smith Jr.,8.1,1.6,0.7,0.8,1.2,13.7,0
2024,Jabari Walker,7.1,1.0,0.6,0.3,0.9,8.9,0
2024,Jack White,3.0,0.3,1.0,0.3,0.5,1.5,0
2024,Jacob Gilyard,1.1,3.3,0.8,0.1,0.7,4.2,0
2024,Jacob Gilyard,1.2,3.5,0.7,0.1,0.8,4.7,0
2024,Jacob Gilyard,0.8,1.5,1.5,0.0,0.3,0.0,0
2024,Jacob Toppin,0.8,0.3,0.0,0.1,0.1,1.4,0
2024,Jaden Hardy,1.8,1.5,0.3,0.1,0.8,7.3,0
2024,Jaden Ivey,3.4,3.8,0.7,0.5,2.5,15.4,0
2024,Jaden McDaniels,3.1,1.4,0.9,0.6,1.2,10.5,0
2024,Jaden Springer,1.6,0.9,0.7,0.3,0.7,3.3,0
2024,Jaden Springer,1.8,1.1,0.8,0.3,0.8,4.0,0
2024,Jaden Springer,1.2,0.5,0.6,0.2,0.5,2.1,0
2024,Jae Crowder,3.2,1.3,0.8,0.2,0.5,6.2,0
2024,Jae'Sean Tate,3.0,1.0,0.6,0.2,0.6,4.1,0
2024,Jahmi'us Ramsey,3.1,1.1,1.0,0.0,1.0,6.7,0
2024,Jaime Jaquez Jr.,3.8,2.6,1.0,0.3,1.5,11.9,0
